Title,Role,Salary,Address,Time left
"Thiết kế logo cho công ty cung ứng hạ tầng, dịch vụ CNTT - Viễn thông",Thiết kế Logo,0 đ - 5.000.000 đ,Toàn Quốc,Hết hạn chào giá
Triển khai sản phẩm App CNTT hỗ trợ chuyển đổi số cho DN nhỏ và siêu nhỏ,Việc marketing khác,0 đ - 5.000.000 đ,TP. Hồ Chí Minh,Hết hạn chào giá
Dựng clip giới thiệu sản phẩm phần mềm CNTT tầm 30p,Video hoạt hình,0 đ - 5.000.000 đ,Toàn Quốc,Hết hạn chào giá
Viết bài cho sản phẩm CNTT,Viết bài PR & quảng cáo sáng tạo,0 đ - 5.000.000 đ,TP. Hồ Chí Minh,Hết hạn chào giá
Viết tiểu luận về môn học chuyên nghành CNTT môn PHÂN TÍCH VÀ THIẾT KẾ HỆ THỐNG THÔNG TIN (mình học liên thông làm tiểu luận tốt nghiệp hết môn).,Lập trình phần mềm,0 đ - 5.000.000 đ,Toàn Quốc,Hết hạn chào giá
Kỹ sư/cử nhân CNTT/ĐTVT làm việc tại Đà Nẵng,Lập trình phần mềm,5.000.000 đ - 10.000.000 đ,Toàn Quốc,Hết hạn chào giá
Kỹ sư/cử nhân CNTT/ĐTVT làm việc tại Đà Nẵng,Lập trình web,5.000.000 đ - 10.000.000 đ,Đà Nẵng,Hết hạn chào giá
Cộng tác viên làm các biên bản của hợp đồng cho công ty làm trong lĩnh vực CNTT,Biên tập & chỉnh sửa nội dung,0 đ - 5.000.000 đ,Hà Nội,Hết hạn chào giá
"Viết bài, up nội dung, thiết kế banner lên web Wordpress bán hàng lĩnh vực phần mềm CNTT","Viết bài SEO, nội dung cho website",0 đ - 5.000.000 đ,Toàn Quốc,Hết hạn chào giá
Cộng tác viên làm các biên bản của hợp đồng cho công ty làm trong lĩnh vực CNTT,Biên tập & chỉnh sửa nội dung,0 đ - 5.000.000 đ,Hà Nội,Hết hạn chào giá
